Temperature,Days_Stagnant,Source_Type,Gas_PPM
17.4,4.0,Sewage,122.92
40.9,28.0,Sewage,423.69
38.3,24.7,Rainwater,136.26
18.8,11.9,Sewage,309.66
36.1,29.3,Sewage,498.99
20.6,23.2,Rainwater,100.46
39.9,28.0,Sewage,381.6
33.1,17.0,Rainwater,116.53
31.0,16.6,Rainwater,139.74
42.8,14.1,Rainwater,70.92
42.2,16.3,Rainwater,96.31
38.9,11.3,Rainwater,64.0
16.7,24.2,Sewage,361.55
19.9,24.4,Sewage,260.96
42.0,9.2,Rainwater,118.63
25.3,8.3,Rainwater,70.93
18.4,9.8,Sewage,197.89
37.8,8.3,Rainwater,102.74
14.9,10.3,Sewage,223.41
20.1,24.8,Sewage,411.3
44.7,11.5,Sewage,472.7
38.3,27.0,Rainwater,132.42
23.6,19.8,Rainwater,111.43
30.9,11.9,Rainwater,59.92
15.2,11.4,Sewage,265.2
10.5,6.2,Rainwater,36.24
17.2,19.4,Sewage,299.44
30.1,10.1,Rainwater,65.48
39.0,22.7,Sewage,304.41
32.7,2.0,Sewage,145.24
20.4,25.0,Rainwater,72.21
42.1,8.6,Rainwater,93.58
40.3,24.2,Sewage,475.16
24.2,18.5,Sewage,450.24
35.3,19.3,Sewage,324.86
20.6,1.1,Sewage,40.43
44.2,24.8,Sewage,359.23
12.1,20.0,Rainwater,56.2
25.4,12.8,Rainwater,82.48
32.5,14.1,Rainwater,146.54
41.3,7.1,Sewage,370.47
28.4,25.4,Rainwater,122.36
44.8,18.8,Sewage,344.32
25.2,14.8,Sewage,388.74
40.3,10.0,Sewage,328.08
11.4,27.8,Rainwater,74.18
42.5,11.1,Rainwater,117.36
37.8,12.4,Sewage,470.47
26.1,5.2,Rainwater,70.41
44.4,28.9,Rainwater,73.37
25.2,19.3,Sewage,365.23
24.2,23.6,Rainwater,141.97
34.0,20.3,Rainwater,123.34
31.5,20.0,Sewage,454.74
27.3,6.5,Sewage,293.78
26.3,5.8,Sewage,214.64
16.9,4.0,Rainwater,32.0
37.1,11.4,Sewage,486.66
37.9,7.9,Sewage,296.95
29.3,17.8,Rainwater,125.29
23.0,2.2,Sewage,70.5
32.0,27.3,Sewage,360.85
41.8,13.5,Sewage,417.13
43.0,12.0,Rainwater,133.16
40.7,7.8,Sewage,348.77
11.9,10.6,Rainwater,37.52
14.2,10.2,Sewage,161.71
13.9,10.1,Sewage,231.84
33.3,27.7,Rainwater,56.02
38.2,4.7,Sewage,280.92
36.3,20.6,Sewage,427.46
38.9,11.9,Rainwater,75.92
17.9,19.3,Rainwater,97.57
19.6,1.2,Sewage,36.09
11.4,12.9,Sewage,197.82
12.0,22.3,Rainwater,108.05
25.5,12.1,Rainwater,59.79
22.1,21.5,Sewage,349.3
17.2,3.9,Sewage,101.78
26.2,13.6,Sewage,335.22
18.7,8.9,Sewage,171.61
15.6,19.3,Sewage,273.19
40.1,26.3,Sewage,349.66
24.2,7.0,Rainwater,83.13
44.5,16.7,Rainwater,73.48
15.7,4.5,Sewage,141.73
19.0,20.5,Rainwater,53.44
21.9,8.3,Rainwater,67.79
19.2,11.6,Sewage,280.69
18.9,22.9,Rainwater,67.64
38.7,13.5,Rainwater,113.78
26.2,24.1,Sewage,358.0
42.3,21.8,Sewage,399.32
43.9,19.3,Rainwater,91.66
44.4,2.7,Rainwater,41.13
38.0,5.3,Rainwater,85.56
11.6,7.3,Rainwater,26.67
20.9,26.9,Rainwater,68.45
43.5,12.2,Sewage,455.31
32.9,8.8,Sewage,330.87
43.6,1.1,Rainwater,30.08
38.3,26.7,Rainwater,120.19
22.4,12.0,Sewage,297.4
23.4,6.0,Rainwater,27.23
41.6,27.3,Rainwater,153.11
23.6,25.1,Sewage,420.65
37.8,27.2,Sewage,365.11
32.3,25.6,Rainwater,128.17
31.1,15.0,Rainwater,130.97
21.2,8.3,Sewage,291.02
28.7,24.3,Rainwater,128.97
20.7,19.7,Rainwater,77.07
16.3,25.7,Rainwater,79.36
13.5,18.0,Sewage,300.33
10.1,8.3,Rainwater,17.92
43.2,29.6,Sewage,380.6
35.4,4.0,Sewage,201.62
30.9,22.2,Rainwater,136.56
17.5,18.4,Sewage,289.84
16.8,7.8,Rainwater,67.79
41.6,27.9,Rainwater,84.87
22.9,10.4,Rainwater,57.6
33.7,22.1,Rainwater,64.28
23.8,2.4,Sewage,100.22
30.0,18.7,Rainwater,97.25
17.0,11.8,Sewage,278.94
15.0,2.9,Rainwater,16.94
20.4,23.5,Sewage,279.32
12.5,15.5,Rainwater,68.23
35.9,13.8,Rainwater,101.48
11.6,7.1,Rainwater,51.02
15.8,13.7,Rainwater,42.41
36.1,3.9,Sewage,326.89
40.8,20.9,Rainwater,61.54
32.9,16.3,Rainwater,67.47
33.8,16.3,Rainwater,137.05
40.9,20.5,Rainwater,136.71
44.7,18.0,Rainwater,106.66
38.2,16.1,Sewage,442.86
37.1,2.9,Rainwater,53.65
29.6,13.4,Sewage,469.79
14.9,1.6,Rainwater,9.11
42.2,4.1,Rainwater,47.86
28.4,21.0,Sewage,417.68
23.2,14.5,Sewage,354.4
27.2,16.8,Sewage,280.21
20.5,12.2,Sewage,327.22
22.3,11.7,Sewage,226.78
17.4,20.2,Rainwater,74.79
27.8,4.4,Sewage,241.98
15.7,1.3,Sewage,36.79
22.5,12.6,Rainwater,91.97
26.7,8.3,Rainwater,80.54
32.0,15.5,Rainwater,138.74
33.7,21.8,Rainwater,67.96
10.6,14.4,Sewage,165.61
36.5,24.4,Sewage,435.92
40.9,3.8,Rainwater,87.43
31.7,6.2,Rainwater,66.14
33.5,13.2,Sewage,435.4
39.0,5.5,Rainwater,122.16
12.1,25.8,Sewage,329.75
43.2,2.9,Rainwater,65.53
21.9,23.3,Sewage,348.71
36.5,29.0,Rainwater,138.05
10.4,24.2,Rainwater,71.58
20.5,19.0,Rainwater,113.81
15.4,11.0,Rainwater,27.99
26.9,6.2,Rainwater,78.99
31.7,22.9,Sewage,427.46
44.4,24.1,Rainwater,153.82
37.9,10.8,Rainwater,115.16
36.6,3.2,Sewage,265.65
21.0,19.8,Sewage,372.09
39.4,9.8,Rainwater,102.26
29.3,1.9,Sewage,110.73
21.4,11.2,Rainwater,59.29
44.1,12.1,Rainwater,80.33
21.2,12.9,Sewage,276.82
29.8,24.7,Rainwater,149.13
15.2,17.3,Sewage,219.58
35.6,17.0,Rainwater,62.98
19.5,6.6,Rainwater,58.11
27.6,4.5,Rainwater,31.2
38.3,2.5,Sewage,272.47
35.7,7.6,Rainwater,116.31
12.7,10.9,Sewage,195.83
34.8,18.3,Rainwater,79.36
16.9,24.7,Rainwater,82.4
44.7,16.6,Sewage,379.9
15.3,21.6,Sewage,383.82
35.8,21.7,Rainwater,141.93
